Identifier,Archive Location,Publication Year,ARCGIS_Year,Heb_year,Original_Cal_Type,Author,Title,English_Title,Press,Press Adress,Place,Longitude,Latitude,Accurate,Language_Code,Book_URL,Notes,Thumbnail_Name,Thumbnail_Wiki_URL,Thumbnail_ImageURL,Wiki_URL,WorldCat_Genre,WorldCat_Subject_Tags,WorldCat_Description,WorldCat_Notes,Reason_skipped_subjectTag,Date_Added,Data_Mod,Pages,Rights,MARC2_Tags,Translator,OCLC_Number,Provenance
6,JA 0094,,01/01/1800,,,,Ghina'yat al-bahr bi-dahak li wa-ghina'yat ma naud shi maak,,Mordechai Uzan & Frere,,Tunis,36.8064948,10.1815316,,jrb,https://drive.google.com/open?id=1BTTLr8iVGdV22r6Lu9FRUtTJgMVWb3-o,,JA0025a,,https://drive.google.com/open?id=1OxvxaQh9dw5EmvSiKnlWtM3nffNAEW-Z,,,Judeo-Arabic; literature,,,,,,,,,,,
50,JA 0246,,01/01/1800,,,,Ghinayat al-bulbul ghanna ala ghusn al-ful,,Tsemah ha-Levi Press,,Tunis,36.8064948,10.1815316,,jrb,https://drive.google.com/open?id=1fwBY9WYRmBXeT0zHP8d8WKuYMOWVVO3Y,,JA0025b,,https://drive.google.com/open?id=1qClrsE6WZAiqe8Q3gZ8DS-Yg3AbbH4zN,,,,,,,,,,,,,,
49,JA 0246,,01/01/1800,,,,Ghinayat ala al-hilah ya rabana,,Tsemah ha-Levi Press,,Tunis,36.8064948,10.1815316,,jrb,https://drive.google.com/open?id=1GdN7SmfV4i5MlpmC8lY4Dnq6o6KwNBCo,,JA0028,,https://drive.google.com/open?id=11KY9hzzzRpqvRVcH_SgiY3nJ-f6COPKU,,,,,,,,,,,,,,
96,JA 0094,1891,01/01/1891,,,,Ghinayat bil-Arabiyya,,Yaakov Guedj Press,,Algiers,36.6997294,3.0576199,,jrb,https://drive.google.com/open?id=1VfeCr4CTZPd5xM8AWAnF2WC_hA38Jf16,,JA0029,,https://drive.google.com/open?id=1Vz4okGmYiBkXrxTDNyzdQaufqZSW5Qhi,,,,,,,,,,,,,,
286,JA 0245,,01/01/1800,,,Rajdan,Ghinayat in sha allah,,Imprimerire du Sahel Press (Al-Sahel Press) M. Nadjar,26 Rue de France 26,Sousse,35.8245029,10.634584,,jrb,https://drive.google.com/open?id=1SndsnUox1j6sZKV_VNBL1daSvEE68d9b,"Listed in Judeo-Arabic translation as such ______ ______ - ____ ______ ___ 26  meaning Al-Sahel Press ""on the route"" i.e. Rue France number/#/'addad 26 ",JA0031,,https://drive.google.com/open?id=1eKiJqtQKy7xtrFSu-L8S3cXT189hXRQj,,,,,,,,,,,,,,
46,JA 0244,,01/01/1800,,,,Ghinayat ma tadhrabush al-bint,,Imprimerire du Sahel M. Nadjar,,Sousse,35.8245029,10.634584,,jrb,https://drive.google.com/open?id=1-71wEiRTj-Zt3PTBST5WEsATS3KM6mHM,,JA0038-JA0039,,https://drive.google.com/open?id=1qy4MbQgGH4U3-p3lv8eVtjtQOfAJoS14,,,,,,,,,,,,,,
105,JA 0095,1900,01/01/1900,,,,Ghinayat Misr al-jadidah,,Kastro Press,,Tunis,36.8064948,10.1815316,,jrb,https://drive.google.com/open?id=1yI4aCJGOEYbTtmpCwejFy1L_V9Dc-B6K,,JA0044,,https://drive.google.com/open?id=1aTOOO-7LB_4UlZfOw-uTS5wMn26nH4G0,,,Judeo-Arabic; literature,,,,,,,,,,,
5,JA 0093,,01/01/1800,,,,Goralot Ahitofel,,Makhlouf Nadjar Press,,Sousse,35.8245029,10.634584,,jrb,https://drive.google.com/open?id=1RuKxJne5rHJjKwUg7R1Vumqhgy4AliSe,,JA0046,,https://drive.google.com/open?id=1_Un_D0YXnG6pngp2YqJj0r0zK5W3-ag2,,,Ca_bala,,,,,,,,,,,
89,JA 0249,1886,01/01/1886,,,,ha-Mazal veha-hatslahah,,"A. Bukabza, S. Bekashur, M. Tseror Press",2 Rue Pavy 2,Algiers,36.6997294,3.0576199,,jrb,https://drive.google.com/open?id=1f6U_XZ-7Bc4q7waPMdi1BxFojJyXh0i7,,JA0047a,,https://drive.google.com/open?id=1UTZWR1U4eYICxOI3qU2v82XRf7WJOJwq,,,"Jewish; legends; Folk; literature,; Judeo-Arabic; Success",,,,,,,,,,,
83,JA 0408,,01/01/1800,,,,ha-Ribash zetsal,,Bekache Press,1 Rue Solf_rino no. 3 Alger,Algiers,36.6997294,3.0576199,,jrb,https://drive.google.com/open?id=1z7EYLfhBcOITB_jQYisYvtBE0wTq_Zka,,JA0047b,,https://drive.google.com/open?id=1WX7hyWhTfnVQVLKyG_fygVhTaNvH2iYn,,,,,,,,,,,,,,
